datetime,Delta t (min),lon,lat,size (cm),mm,duration (min),mode,quality
2013-07-22 20:45:00,15,11.29,46.34,4,,,hail,QC1
2015-05-15 03:00:00,60,11.14,46.39,,,,hail,QC1
2015-05-15 03:00:00,60,11.04,46.29,,,,hail,QC1
2015-05-15 03:00:00,60,11.05,46.27,,,,hail,QC1
2015-05-15 03:00:00,60,11.05,46.34,,,,hail,QC1
2015-05-15 03:00:00,60,11.05,46.31,,,,hail,QC1
2015-06-06 17:00:00,15,11.27,45.99,,,,hail,QC1
2015-06-23 15:25:00,15,11.24,46.01,,,,hail,QC1
2015-06-27 16:05:00,15,10.83,45.92,,,,hail,QC1
2015-06-27 16:20:00,15,10.98,45.85,,,,hail,QC1
2015-07-02 17:15:00,15,11.45,46.05,2,,,hail,QC1
2015-07-08 15:00:00,60,11.48,45.71,4,,,hail,QC0+
2015-09-02 10:45:00,30,11.34,45.61,3,,,hail,QC1
2016-06-25 14:00:00,60,11.24,46.06,4,,,hail,QC1
2017-05-14 19:30:00,30,11.46,45.76,,,,hail,QC1
2017-05-14 19:30:00,30,11.46,45.75,,,,hail,QC1
2017-05-14 19:30:00,30,11.45,45.77,,,,hail,QC1
2017-05-14 19:30:00,30,11.48,45.71,7,,,hail,QC1
2017-05-14 19:30:00,30,11.43,45.69,5,,,hail,QC1
2017-07-24 02:45:00,15,11.31,45.74,,,,hail,QC1
2017-07-24 02:45:00,15,11.32,45.72,,,,hail,QC1
2017-07-24 02:50:00,15,11.35,45.71,,,,hail,QC1
2017-07-24 02:50:00,15,11.33,45.73,,,,hail,QC1
2017-07-24 02:50:00,15,11.36,45.71,5,,,hail,QC1
2017-07-24 02:55:00,15,11.38,45.68,7,,,hail,QC1
2017-08-06 11:00:00,15,11.32,45.72,7,,,hail,QC1
2017-08-06 11:15:00,30,11.36,45.71,8,,,hail,QC1
2017-08-09 17:30:00,30,10.79,45.6,5,,,hail,QC0+
2017-08-09 18:00:00,30,10.79,45.6,3.5,,,hail,QC1
2017-08-09 19:00:00,30,11.5,46.54,3,,,hail,QC1
2017-08-09 19:00:00,30,11.46,46.54,2.5,,,hail,QC1
2017-08-09 19:00:00,15,11.27,46.32,3,,,hail,QC1
2017-08-09 19:00:00,30,11.22,46.27,3,,,hail,QC1
2017-08-09 19:00:00,30,11.22,46.31,2.5,,,hail,QC1
2017-08-09 19:15:00,30,11.24,46.34,3.5,,,hail,QC1
2017-08-09 19:30:00,30,11.19,46.24,7,,,hail,QC1
2017-08-10 13:00:00,30,11.2,46.3,4,,,hail,QC1
2017-08-10 13:00:00,30,11.34,46.46,3,,,hail,QC1
2017-08-10 13:00:00,60,11.24,46.41,3,,,hail,QC1
2017-08-10 13:00:00,60,11.37,46.49,3,,,hail,QC1
2017-08-10 13:00:00,60,11.24,46.34,5,,,hail,QC1
2017-08-10 13:30:00,30,11.32,46.4,3.5,,,hail,QC1
2017-08-10 14:00:00,60,11.39,46.49,2.5,,,hail,QC1
2017-08-10 16:30:00,30,10.79,45.6,,,,hail,QC0+
2017-08-28 16:30:00,30,10.9,45.67,5,,,hail,QC0+
2018-07-05 17:30:00,30,11.27,46.38,,,,hail,QC1
2018-07-12 17:05:00,15,11,46.4,2,,,hail,QC1
2018-07-12 17:07:00,15,11.02,46.41,2,,,hail,QC1
2018-07-12 17:10:00,15,11.03,46.37,2,,,hail,QC1
2019-07-02 19:00:00,15,11.32,45.72,3,,,hail,QC1
2019-07-03 14:00:00,15,11.37,45.79,2,,,hail,QC1
2019-07-03 14:00:00,15,10.84,45.89,3,,,hail,QC1
2019-07-03 14:15:00,15,11.44,45.76,4,,,hail,QC1
2019-07-03 14:15:00,15,11.36,45.71,5,,,hail,QC1
2019-07-03 14:15:00,15,11.38,45.73,5,,,hail,QC1
2019-07-03 14:45:00,15,11.41,45.66,2,,,hail,QC1
2019-07-03 14:45:00,15,11.43,45.69,4,,,hail,QC1
2019-07-12 15:00:00,15,11.46,45.75,3,,,hail,QC1
2019-07-12 15:00:00,15,11.46,45.76,3,,,hail,QC1
2019-07-25 18:00:00,15,11.33,46.54,3,,,hail,QC1
2019-07-31 10:30:00,5,11.36,45.72,2,,,hail,QC1
2019-07-31 10:30:00,15,11.31,45.72,3,,,hail,QC1
2019-07-31 12:00:00,15,10.91,46.08,,,,hail,QC1
2019-07-31 12:00:00,30,10.85,46.05,,,,hail,QC1
2019-08-02 13:00:00,15,11.31,45.72,,,,hail,QC1
2019-08-06 11:40:00,5,11.33,46.49,2,,,hail,QC1
2019-08-12 17:00:00,30,10.72,45.63,1,,,hail,QC1
2019-08-12 18:00:00,60,10.72,45.74,3,,,hail,QC1
2013-05-17 09:00:00,,11.22,45.7,,420,2160,precip,QC1
2013-07-21 18:30:00,60,10.78,46.57,,,,precip,QC1
2013-07-22 15:30:00,60,10.78,46.57,,,,precip,QC1
2013-07-22 20:30:00,60,11.32,46.4,,,,precip,QC1
2013-07-22 20:30:00,60,11.3,46.33,,,,precip,QC1
2013-07-22 20:30:00,60,11.27,46.32,,,,precip,QC1
2015-06-08 01:00:00,60,11.25,46.44,,51,120,precip,QC0+
2015-07-03 12:30:00,30,10.78,46.57,,,,precip,QC1
2015-08-07 21:45:00,15,11.29,46.34,,51.3,90,precip,QC0+
2017-05-14 19:30:00,30,11.44,45.72,,,,precip,QC1
2017-06-24 20:00:00,30,11.5,46.59,,48,60,precip,QC1
2017-06-25 01:35:00,30,11.33,46.49,,47,90,precip,QC1
